YEAR,MONTH,DAY,stid,TAVG
2024,1,1,ACME,31.82
2024,1,1,ADAX,32.91
2024,1,1,ALTU,31.04
2024,1,1,ALVA,-999
2024,1,1,ALV2,29.21
2024,1,1,ANTL,-999
2024,1,1,ANT2,34.79
2024,1,1,APAC,30.94
2024,1,1,ARDM,-999
2024,1,1,ARD2,34.67
2024,1,1,ARNE,28.64
2024,1,1,BEAV,30.7
2024,1,1,BEEX,-999
2024,1,1,BESS,29.68
2024,1,1,BIXB,32.47
2024,1,1,BLAC,29.55
2024,1,1,BOIS,33.24
2024,1,1,BOWL,-999
2024,1,1,BREC,29.56
2024,1,1,BRIS,32.49
2024,1,1,BBOW,-999
2024,1,1,BROK,36.5
2024,1,1,BUFF,29.2
2024,1,1,BURB,30.47
2024,1,1,BURN,34.1
2024,1,1,BUTL,29.96
2024,1,1,BYAR,33.58
2024,1,1,CALV,-999
2024,1,1,CAMA,29.25
2024,1,1,CATO,-999
2024,1,1,CENT,34.25
2024,1,1,CHAN,33.8
2024,1,1,CHER,29.26
2024,1,1,CHEY,29.59
2024,1,1,CHIC,31.82
2024,1,1,CLAR,-999
2024,1,1,CLRM,-999
2024,1,1,CLAY,34.96
2024,1,1,CLOU,35.02
2024,1,1,COOK,32.61
2024,1,1,COPA,30.69
2024,1,1,DURA,35.77
2024,1,1,ELRE,29.04
2024,1,1,ELKC,29.4
2024,1,1,ERIC,29.47
2024,1,1,EUFA,33.34
2024,1,1,EVAX,32.2
2024,1,1,FAI2,29.57
2024,1,1,FAIR,-999
2024,1,1,FITT,32.74
2024,1,1,FORA,30.62
2024,1,1,FREE,28.47
2024,1,1,FTCB,30.24
2024,1,1,GOOD,33.72
2024,1,1,GRAN,-999
2024,1,1,GRA2,32.88
2024,1,1,GUTH,31.72
2024,1,1,HASK,32.65
2024,1,1,HECT,33.13
2024,1,1,HINT,28.93
2024,1,1,HOBA,30.01
2024,1,1,HOLD,33.85
2024,1,1,HOLL,30.02
2024,1,1,HOOK,31.43
2024,1,1,HUGO,36.66
2024,1,1,IDAB,37.04
2024,1,1,INOL,31.45
2024,1,1,JAYX,30.89
2024,1,1,KENT,35.18
2024,1,1,KETC,33.76
2024,1,1,KING,-999
2024,1,1,KIN2,30.07
2024,1,1,LAHO,28.96
2024,1,1,CARL,30.97
2024,1,1,LANE,35.36
2024,1,1,MADI,34.74
2024,1,1,MANG,30.29
2024,1,1,MARE,32.23
2024,1,1,MARS,-999
2024,1,1,MRSH,30.56
2024,1,1,MAYR,27.62
2024,1,1,MCAL,33.74
2024,1,1,MEDF,29.31
2024,1,1,MEDI,31.44
2024,1,1,MIAM,30.75
2024,1,1,MINC,31.62
2024,1,1,MTHE,34.56
2024,1,1,NEWK,29.59
2024,1,1,NEWP,35.04
2024,1,1,NINN,-999
2024,1,1,NORM,-999
